,DateTime,X1,X2,X3,X4,Y
0,4,5.9433333333333325,17.72,0.1001,0.169,381611.12
1,4,5.989999999999999,17.68,0.1092,0.1872,383727.2
2,5,5.993333333333333,17.66,0.1235,0.1014,396198.9
3,5,6.0,17.68,0.0949,0.169,396618.97
4,5,6.013333333333333,17.68,0.1326,0.13,397572.34
5,5,6.05,17.7,0.1092,0.1209,399766.56
6,5,6.13,17.72,0.1001,0.1547,405571.1
7,5,6.16,17.68,0.1001,0.2067,407097.44
8,6,6.166666666666667,17.64,0.1092,0.1495,396413.47
9,6,6.123333333333334,17.619999999999997,0.104,0.1495,395985.16
10,6,6.076666666666667,17.619999999999997,0.0949,0.1586,393846.53
11,6,6.056666666666668,17.64,0.0897,0.2028,392347.97
12,6,6.03,17.64,0.1183,0.1391,389505.75
13,6,6.013333333333333,17.619999999999997,0.0897,0.1495,386869.12
14,7,5.989999999999999,17.56,0.1326,0.2261999999999999,389661.53
15,7,6.010000000000001,17.54,0.2236,0.2028,390314.16
16,7,6.016666666666667,17.5,0.7839,0.6981,390176.88
17,7,6.03,17.48,25.246,21.476,395783.47
18,7,6.043333333333333,17.44,44.811,37.752,396708.44
19,7,6.066666666666666,17.380000000000003,40.846,34.073,398329.03
20,8,6.09,17.32,36.842,30.641,438963.28
21,8,6.1000000000000005,17.240000000000002,39.871,33.904,438208.9
22,8,6.13,17.16,43.55,37.609,439042.12
23,8,6.146666666666667,17.1,51.05100000000001,44.499,437552.78
24,8,6.170000000000001,17.06,41.015,34.255,441485.38
25,8,6.15,17.04,41.743,35.165,438949.94
26,9,6.166666666666667,17.04,48.659,40.924,454145.44
27,9,6.203333333333333,16.94,61.321000000000005,50.44,456849.53
28,9,6.23,16.84,94.51,79.89800000000001,463644.34
29,9,6.34,16.54,71.357,61.412000000000006,454422.56
30,9,6.493333333333333,15.94,72.852,62.322,452318.53
31,9,6.609999999999999,15.04,63.765,55.432,457644.44
32,10,6.66,14.24,92.56,79.93700000000001,528149.7
33,10,6.663333333333333,13.72,69.004,60.502,514478.56
34,10,6.656666666666666,13.8,134.42000000000002,119.73,520602.78
35,10,6.63,14.2,182.0,154.18,530995.94
36,10,6.62,14.34,184.47000000000003,155.09,528741.1
37,10,6.626666666666666,14.44,219.7,190.19000000000003,511403.2
38,11,6.673333333333333,14.48,281.84000000000003,246.22000000000003,584842.2
39,11,6.6933333333333325,14.34,316.03000000000003,242.06,579586.8
40,11,6.75,14.18,358.28000000000003,289.12,567618.3
41,11,6.806666666666668,13.88,403.26,307.71,551762.3
42,11,6.9,13.9,610.87,145.47,553971.9
43,11,7.12,13.8,814.8399999999999,133.9,562664.5
44,12,7.203333333333333,13.3,490.75,216.97000000000003,539621.06
45,12,7.34,12.91,859.5600000000001,204.62,559831.7
46,12,7.506666666666667,12.902,871.9100000000001,175.37,556682.06
47,12,7.513333333333333,12.882,705.12,270.40000000000003,502180.12
48,12,7.536666666666666,12.89,742.4300000000001,238.81,528695.56
49,12,7.526666666666666,12.75,384.54,296.14000000000004,547120.2
50,13,7.446666666666666,12.57,531.0500000000001,349.7,556750.94
51,13,7.513333333333333,12.348,396.5,304.72,560436.0
